,Tweets,Fecha,Likes,Retweets,Indice,Localizacion,Polaridad
0,"On behalf of @FLOTUS Melania and the entire Trump family, I want to wish you all a very MERRY CHRISTMAS! May this C… https://t.co/XWu0u6NyjB",2018-11-28 23:32:11,43248,10809,0,"Washington, DC",Tweet positivo
1,Steel Dynamics announced that it will build a brand new 3 million ton steel mill in the Southwest that will create… https://t.co/ZF3IDNpDUE,2018-11-28 16:09:47,80521,19989,1,"Washington, DC",Tweet positivo
2,".....and G.M. would not be closing their plants in Ohio, Michigan &amp; Maryland. Get smart Congress. Also, the countri… https://t.co/6bASKPcvH1",2018-11-28 14:49:31,55632,13963,2,"Washington, DC",Tweet positivo
3,"The reason that the small truck business in the U.S. is such a go to favorite is that, for many years, Tariffs of 2… https://t.co/XtFBz2Po4U",2018-11-28 14:43:31,52389,13465,3,"Washington, DC",Tweet positivo
4,RT @charliekirk11: WOW - if a conservative said this they would be boycotted and not allowed back in the public arena — Hillary said “all b…,2018-11-28 14:32:20,0,22210,4,"Washington, DC",Tweet positivo
5,RT @dbongino: What the hell is this? 👇🏻 https://t.co/3haUa6XMRe,2018-11-28 14:31:18,0,15068,5,"Washington, DC",Tweet neutral
6,RT @MikePenceVP: I'm thankful for every day Hillary Clinton is not President!,2018-11-28 14:29:30,0,16096,6,"Washington, DC",Tweet neutral
7,RT @The_Trump_Train: Will CNN ever ask Border Patrol agents how they felt having large rocks chucked at them by criminal illegals?,2018-11-28 13:41:29,0,15021,7,"Washington, DC",Tweet negativo
8,"RT @The_Trump_Train: Illegals can get up to $3,874 a month under Federal Assistance program. Our social security checks are on average $120…",2018-11-28 13:41:14,0,31888,8,"Washington, DC",Tweet negativo
9,"RT @The_Trump_Train: If GM doesn't want to keep their jobs in the United States, they should pay back the $11.2 billion bailout that was fu…",2018-11-28 13:40:48,0,15971,9,"Washington, DC",Tweet neutral
